title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Revenant 3,Chris Abani,"Feb 5, 2016",http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/,negative,-0.6244,0.1147,0.1680,0.0768,0.1731,0.5193,Chicago Tribune obituary; acerbic letters; King Oedipus; Red Square; lieu; barman; Republicans; Lenin; fungi
Sacrament 1,Chris Abani,"Mar 7, 2016",http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/,negative,-0.1170,0.0827,0.1195,0.6188,0.2785,0.5480,red dye bubbles; unbearable trepidation; pilgrim wades; sheer terror; final arbitration; unspeakable angels; Kpom kwem; fearsome beauty; sacred lake; endless line; God; priests; oracle; Chukwu; Igbo; petitioner; trees; gloom; shivers; awe; vultures; Rilke; lips; divinity; mist; breath; rocks; word; believers; voice; heat; shore; supplicants; Deep; grove; haunches
"Sorry, T.",Brenda Shaughnessy,"Jan 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/sorry-t/,negative,-0.2371,0.1800,0.1095,0.4860,0.1853,0.5492,wintry incubus; shifty pavement; primal fool-seasons; cold floor; domestic animal; ghost; moment; bruise; potion; throttle; greet; Brenda; knees; boot; hip; sweat; person; lip; sense; bed.; things; flukeprint; sun; ground
"You Too, Not Just Me",Brenda Shaughnessy,"Feb 11, 2016",http://poetry.lib.uidaho.edu/index.php/poems/you-too-not-just-me/,negative,-0.0487,0.1079,0.0988,0.5738,0.3148,0.5054,Can’t matter; previous whiskey; soft walking; new form; home; vanishes; centaur; ledge; smoke; breath; fraud; circles; shape; fair; face; wisps; drowns; dream
Parallel,Brenda Shaughnessy,"Feb 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/parallel/,negative,-0.3780,0.0298,0.0284,0.3031,0.0034,0.7338,dark cracks; white boards
Inappropriate Dreams,Brenda Shaughnessy,"Dec 3, 2015",http://poetry.lib.uidaho.edu/index.php/poems/inappropriate-dreams/,negative,-0.2118,0.1332,0.1756,0.1556,0.2511,0.5883,grocery store; file folders; lettuce; time; blueberry; pebble; plum; night; food; hill; bear
Headlong,Brenda Shaughnessy,"Feb 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/headlong/,positive,0.0767,0.1143,0.1009,0.4747,0.1380,0.2360,wet eyelashes; hooked lip; headlong wall; brown pain; salt water; cresting; foreshadow; tiptoe; curl; fringe; grief; sip; blink; feet; shadow; love; place; ocean
Card 6 The Lovers,Brenda Shaughnessy,"Mar 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/card-6-the-lovers/,negative,-0.0285,0.1229,0.3477,0.0525,0.0733,0.4568,mirror; wholeness; lover; mouth
Artless,Brenda Shaughnessy,"Apr 13, 2016",http://poetry.lib.uidaho.edu/index.php/poems/artless/,negative,-0.0377,0.0913,0.1216,0.4569,0.3216,0.3401,old smokehouse; special recipe; hopeful haunting; loud hub; meat stub; heart; way; sunroom; rind; stranger; berry; eve; hands; marvel; Spectacular; substance; sun; moonroof; poetry; darkness; life; harvest; fighting; end; excruciation; question; art; everydayness
All Possible Pain,Brenda Shaughnessy,"Feb 24, 2016",http://poetry.lib.uidaho.edu/index.php/poems/all-possible-pain/,negative,-0.2512,0.4927,0.1087,0.1657,0.1253,0.5796,made-up things; throb lingering; exit wounds; leather toe; green bottle; ninety-eight degrees; sky’s roof; feelings; parking; shade; life; cop; sliver; pot; firing; prisoner; tongue; boot; assortment; proof; grief; authority; ones; entries; relationship; god; car; way; pain; truth
A Series of Actions,C.D. Wright,"Jan 18, 2016",http://poetry.lib.uidaho.edu/index.php/poems/a-series-of-actions/,negative,-0.0052,0.1279,0.5265,0.1301,0.1882,0.1226,door opening; left hand; accedes; nbsp; eyelashes; shoelaces; Arms; movements; handle; feet; string; face; gift; blood; skin; way; Cold; floor; scene; eye; palm; Light
Clockmaker with Bad Eyes,C.D. Wright,"Mar 13, 2016",http://poetry.lib.uidaho.edu/index.php/poems/clockmaker-with-bad-eyes/,negative,-0.1165,0.0679,0.4609,0.1452,0.6317,0.2168,dog-eared sheets; Cooking smoke; loco planet; travel book; woman’s blood; suns; walks; thing; time; eyes; weekend; waters; shop; wind; watches—; bed; night; life; body
"Re Happiness, in pursuit thereof",C.D. Wright,"Feb 16, 2016",http://poetry.lib.uidaho.edu/index.php/poems/re-happiness-in-pursuit-thereof/,negative,-0.1400,0.1540,0.1366,0.5263,0.2486,0.2225,alcohol rub; bee balm; Aztec time; Ancient tailings; prepared observer; final cycle; landfall; mess; chamomile; Waterway; Bluff; labyrinth; graveyard; stardust; fog; sing; nails; teeth; breath; left; Eyes; lightning; spandex; corner; help; night; rock; trees; lake; earth
Deepstep Come Shining (excerpt),C.D. Wright,"Mar 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/deepstep-come-shining-excerpt-2/,negative,-0.0099,0.0843,0.1288,0.4716,0.5252,0.2470,deeply furrowed bark; concealed drawing; wholeness; trunks; trunk; palette; aim; Solids; kind; darkness; hand; color.; center; area; line
Gift of the Book,C.D. Wright,"Feb 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/gift-of-the-book/,negative,-0.1358,0.1081,0.0347,0.3112,0.3077,0.3195,rhode island; lights; hunger; prose; bed; reading; body
Girl Friend,C.D. Wright,"Jan 31, 2016",http://poetry.lib.uidaho.edu/index.php/poems/girl-friend/,negative,-0.1228,0.1045,0.5574,0.5299,0.5574,0.2297,photogenic spit; flammable skin; singer manqué; small host; good time; new stars; golden books; schnapps; longings; staircase; Errant; summers
Hotels,C.D. Wright,"May 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/hotels/,positive,0.1236,0.0656,0.3931,0.3180,0.1213,0.1291,forested town; warm beer; love standing; blue tubes; snowfall; lamp; chair; dreams
This Couple,C.D. Wright,"Feb 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/this-couple/,negative,-0.2218,0.0975,0.4422,0.4815,0.5121,0.4361,chain-link gates; wrought-iron compartment; dark beer; laughing friends; wonderful sex; elevator wall; Long drives; pay toilets; Mexican station; apple core; Movie lines; rain; ashtray; headlamps; ravine; lips; whereabouts; freeway; cliffs; stopping; leaflets; Jukeboxes; stranger; guestbooks; Cafes; mirrors; Quarters; dial; yard; faces; engine; rest; heads; Moments; work; hand; plan; highway; progress; Eyes; car; Things; childhood; prints; animal
Like Something in His Handwriting,C.D. Wright,"Apr 24, 2016",http://poetry.lib.uidaho.edu/index.php/poems/like-something-in-his-handwriting/,negative,-0.3561,0.1138,0.1201,0.1223,0.2348,0.5733,nonlocal reality; nameless river; slow intensification; yellow leaf; lower corner; disappearance; optimism; drywall; walkers; paths; yards; rain; instant; spot; woods; park; morning; men; dogs; message; picture; photograph; end; summer
Another Strange Rose for the Afterlife,Dean Young,"Apr 8, 2016",http://poetry.lib.uidaho.edu/index.php/poems/another-strange-rose-for-the-afterlife/,negative,-0.3337,0.0277,0.1119,0.2143,0.0107,0.7358,little spinning creature; smashed innards; Broken river; brown laurel; dry things; vice versa; wineglass; rushes; guesswork; hostages; ambiguity; clarifying; pivot; paw; rapture; twilight; shoulder; shadow; desire; sky; sleep; pain; way; people
Commencement Address,Dean Young,"May 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/commencement-address/,negative,-0.1932,0.1928,0.1772,0.1197,0.2161,0.5233,brown bag lunch; spittoon overflows; lachrymal glands; peanut canister; big deal; outer space; toilet paper; sour room; good ones; best friend; dance floor; blue snow; swans; bureaucrat; dandelions; rages; necklace; receipts; napkins; fluff; phantoms; labyrinth; tongue; grief; mouth; confessions; mom; destruction; chaos; spring; point; angels; data; god; sheets; hope
Delphiniums in a Window Box,Dean Young,"Apr 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/delphiniums-in-a-window-box/,negative,-0.2665,0.1340,0.4415,0.1279,0.2540,0.5147,strange contraption; drainage ditches; evening fusillade; meteor shower; swans; crows; crickets; Stacks; song; sunrise; bats; melon; splinter; thistle; smell; senses; stray; clouds; eyes; rage; taste; farmer; conversation; syntax; butterfly; cloud; question; sugar; touch; place; creek; n’t; books; page; character; poet
Elemental,Dean Young,"Dec 7, 2015",http://poetry.lib.uidaho.edu/index.php/poems/elemental/,negative,-0.1961,0.1375,0.0755,0.1384,0.4723,0.5922,burning woods; abandoned glass; wet grass; Dearheart; summarize; air; dreams; song; hands; body; spark; fireflies; sparks; wade; leaving; night; sea; sleep; Winter; things; summer; ice
Irrevocable Ode,Dean Young,"Apr 18, 2016",http://poetry.lib.uidaho.edu/index.php/poems/irrevocable-ode/,negative,-0.2678,0.1453,0.1454,0.1534,0.1906,0.5596,crude clay teapot; raw rasp; Broken vow; broken silence; greasy hands; greasier rag; richest patron; paint blisters; couple look; diamond cutter; dumb creature; big talker; new home; red wine; white rugs; shrug; waxwings; miscalculations; basement; leg; peels; spiller; tears; chair; howl; blame; sky; rivets; breaker; knee; spoon; rage; husband; head; coyote; mom; joke; vet; lover; wife; Rikyū; hill; bones; ice; disposal; time; pieces; face; door; cat
Late Valentine,Dean Young,"Jan 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/late-valentine/,negative,-0.1822,0.2820,0.2798,0.0775,0.0146,0.4922,ashy furrows; exactly children; tangerine rind; blood panels; newer ones; switchbacks; leaning; divorces; blows; reversals; wrinkles
Opal,Dean Young,"Jan 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/opal/,negative,-0.1250,0.0954,0.1211,0.4075,0.2140,0.5584,tiny fishes; summer’s songs; town hall; glass case; friend; —the; Monet; stacks; skin; curb; nerves; feelings; hay; fingers; laughter; opal; attention; reflection; pond; rest; clock; arm; woods; face; house; help; boxes; person
Scarecrow on Fire,Dean Young,"Apr 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/scarecrow-on-fire/,negative,-0.2604,0.0561,0.5050,0.5106,0.0008,0.0617,seedpod poof; lascivious mouth; hyena’s jaws; huge ensembles; luminous jelly; dreamfluff milkweed; emperor dust; flower girl; overcoat; seawall; glances; predicament; scarecrow; assertions; cities; rubies; sleeve; scare; jars; centurion; aerosols; nightmare; declarations; spit; sprays; moths; breach; crow; vein; buttons; proof; gods; blow; mud; sleep; creatures; face; snow; thoughts; time; brain
The Usual Decision-Making Process,Dean Young,"Dec 22, 2015",http://poetry.lib.uidaho.edu/index.php/poems/the-usual-decision-making-process/,negative,-0.1845,0.1841,0.0669,0.1935,0.1178,0.5903,shimmering robe; rope ladder; hollow monster; corner store; someplace; river; scars; ladybug; headless; glowing; note; signs; half; window; watch; body; table; heart; sky
Three Weeks from Two Days Ago,Dean Young,"Feb 20, 2016",http://poetry.lib.uidaho.edu/index.php/poems/three-weeks-from-two-days-ago/,negative,-0.2070,0.1929,0.1039,0.4121,0.4988,0.5152,airport taxi queue; red minute waits; white afternoon; little boy; pussy willow; pregnant woman; preparatory nubs; crab apples; brown bent; sexual energy; bare tree; coneflowers; spring; waxwings; goldfinches; groom; void; space-time; opposite; spelling; champagne; Alphabet; lunch; moon; joke; consciousness.; dream; daylit; message; cases; book; names; phone
At Klipsan Beach,James Arthur,"Jan 15, 2016",http://poetry.lib.uidaho.edu/index.php/poems/at-klipsan-beach/,negative,-0.0687,0.1066,0.5474,0.1233,0.4647,0.4947,sundial’s arm; soft amber; mortal art; violets; violet; reach; whiskey; shape; shadow; sea; time; beach—; ocean; ice
"Bucephalus, Charging",James Arthur,"Jan 14, 2016",http://poetry.lib.uidaho.edu/index.php/poems/bucephalus-charging/,negative,-0.4509,0.1206,0.4123,0.1672,0.2817,0.4891,titanium hooves; petroleum burning; brown eye; Bombed-out tenements; heavy headstall; barding; blinders; DMZ; gallop; scat; Persia; refinery; bulletproof; shadow; quake; hear; noise; cars; sun
Drinking Song,James Arthur,"Dec 17, 2015",http://poetry.lib.uidaho.edu/index.php/poems/drinking-song/,negative,-0.2481,0.1502,0.3334,0.4087,0.0815,0.1191,sheer hands; pollen engine; injury machine; switchgrass; boatyards; codeine; legs; backhoe; twine; hat; purse; jaw; gloves; tick; cigarettes; grave; sun; wine; ship
In Defense of the Semicolon,James Arthur,"Feb 25, 2016",http://poetry.lib.uidaho.edu/index.php/poems/in-defense-of-the-semicolon/,negative,-0.2942,0.1337,0.1656,0.5809,0.2542,0.5147,reassuring logic; Richard Hugo; open-air restaurant; movable bridges; pale islands; small therefores; semicolons; butterflies; idiots; streetcars; punctuation; bangs; certainty; gangways; waiter; chatter; freeze; hemisphere; reservoirs; dusk; desire; cigarettes; teeth; relationships; split; terminal; brother; darkness; sun; cities; time; girl; home; mills; woman; England; feet
Independence,James Arthur,"Mar 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/independence/,negative,-0.1249,0.0927,0.0885,0.1393,0.5420,0.4694,fiery halo; gassy sky; famous friends; Happy marriage; boring ones; skin graft; Jesus Christ; ovals; cries; optimism; fireworks; boom; cheek; Independence; bottle; kiss; bars; night; bed; stars; clothes…; dog; shard…
Omnivore,James Arthur,"Dec 5, 2015",http://poetry.lib.uidaho.edu/index.php/poems/omnivore/,negative,-0.3124,0.1627,0.2317,0.1505,0.1663,0.5020,Old-time glue-makers; great men; old horses; mediocrity; stingers; Scorpions; scorpion; poison; shark; wife; feed
Rapid Transit,James Arthur,"Dec 15, 2015",http://poetry.lib.uidaho.edu/index.php/poems/rapid-transit/,negative,-0.1868,0.1323,0.4935,0.2011,0.0446,0.1956,end flings water; paddle cuts; backward twin; world flashes; stereo store; train; early evening; early morning; kayaker; smack; strangers; snaps; fist; cheek; passengers; way; sets; eye-to-eye
Vertigo,James Arthur,"Mar 12, 2016",http://poetry.lib.uidaho.edu/index.php/poems/vertigo/,negative,-0.2514,0.1913,0.1280,0.1818,0.1797,0.4028,clock face; diurnal reversal; hand’s cycle; nbsp; sleeve; gestures; arms; half; navigation; points; earth; stars; message
The Land of Nod,James Arthur,"Feb 23, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-land-of-nod/,negative,-0.4294,0.1142,0.1146,0.1451,0.0170,0.6988,Nod; nation—of Cain; serrated sword; blue scilla; unknown origin; grown man; place; God; desolation; rack; wife; screw; offspring; bone; cups; Bible; read; brother; east; wish; way; land; mark; boy; race; men; country
Summer Song,James Arthur,"Dec 14, 2015",http://poetry.lib.uidaho.edu/index.php/poems/summer-song/,positive,0.0181,0.0889,0.1234,0.1751,0.3285,0.6113,tall flag snaps; Star-shaped holes; steel chandelier; summer dress; tall wind; inlaid floor; troopers sailing; old woman; sour-looking sky; clothespins; floors; parachute; subway; strain; galaxies; morning; shell; street; stars; stone; miles; names…; home; number
In the Red Dress I Wear to Your Funeral (Section 7),Erin Belieu,"Apr 15, 2016",http://poetry.lib.uidaho.edu/index.php/poems/in-the-red-dress-i-wear-to-your-funeral-section-7/,positive,0.0095,0.1332,0.4976,0.1196,0.1305,0.5148,real Southern lady—how; Chanel commando; spray-on tan; official widow; snap peas; old-fashioned way; chinless girl; plain ones; rare example; family compound; silent house; dirty box; dead man; comprehend; patrolling; admit; mama; pod; seats; climb; burial; avalanche; nights; ladies; orchestra; job; women
The Last of the Gentlemen Heartbreakers,Erin Belieu,"Apr 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-last-of-the-gentlemen-heartbreakers/,negative,-0.0062,0.1268,0.1904,0.1233,0.5388,0.4842,single swampy; backward—your cask; showy limp; erotica files; waltz-step elegy; Valentine’s Eve; Christmas miracle; yoga instructress; theme-park pirate; bad way; death squad; good eye; comrade; fallacy; Juvenilia; port; ribald; knack; handkerchief; retainer; camellia; mastermind; bagpipe; lap; satisfaction; lightning; Southern; pine; ground; Cincinnati; self; gift; patch; body; woman; storm; Love; Subject; Late; cat; Sources
Another Poem for Mothers,Erin Belieu,"Mar 8, 2016",http://poetry.lib.uidaho.edu/index.php/poems/another-poem-for-mothers/,negative,-0.0420,0.1064,0.1208,0.1187,0.4654,0.5622,mothers; clever failure; particular hands; Mother; cool sheets; better house; poems; slap; butter; poem; sew; spreads; spin; bread; wonder; shape; children; world; men; miles; mother-hands; weather
Bee Sting,Erin Belieu,"Jan 7, 2016",http://poetry.lib.uidaho.edu/index.php/poems/bee-sting/,negative,-0.3520,0.4114,0.1342,0.5647,0.0000,0.0453,unprovoked attack; beach towel; hot concrete; fatal anger; small plot; bees; hard way; ointments; welts; stinger; barefoot; hive; harm; lips; feet; rage; reason; cloud; pain; fall; swing-set; bed
Rose Red,Erin Belieu,"Apr 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/rose-red/,negative,-0.2370,0.1249,0.8049,0.0272,0.0098,0.0863,ordinary fruit ripening; circling bird; hooked thorns; opposite sides; public table; mouth water; flowering trees; bloom fall; bedroom windowone; mother; nub; liking; indiscriminate; hairs; troll; sweetness; beard; gull; scissors; chin; blossoms; mirrors; wings; shadow; fur; thumbnail; sister; hands; spine; prize; brother; bowl; cottage; face; prince; woman; bear; eyes; way; red; course
The Small Sound of Quiet Animals,Erin Belieu,"Mar 23, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-small-sound-of-quiet-animals/,negative,-0.2910,0.1242,0.4353,0.4511,0.2252,0.5487,single expensive vase; dark closet doorway; white spot whistling; smallest provocation; damp curtains; bared teeth; tulip face; comfortable chair; dresser drawer; serpentine highway; Jehovah landlord; feed myfish; quiet animals; municipal bars; Blue Earth; small sounds; shape; lampshade; tilts; Minnesota; baseboards; bed; forearm; bangs; Pipestone; radiator; Pemberton; ripple; dollars; sweat; fist; Curl; smile; elbow; night; Mankato; leg; evening; sleep; splash; pool; desk; daughters; boots; haunches; Nordic; answers; finger; man; leaves
The Spring Burials,Erin Belieu,"Feb 27, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-spring-burials/,negative,-0.3874,0.1622,0.1636,0.4198,0.2486,0.6100,curled leg; asphalt mean; shoebox nests; slender prop; newborn birds; jelly jars; best intentions; arrange things; pretty weed; study ways; Violets; fool; spring; Occupy; spite; fuss; deed; blacktop; sunlight; twist; wings; brush; eggs; worms; grief; moment; green; management
My Field Guide,Erin Belieu,"Dec 2, 2015",http://poetry.lib.uidaho.edu/index.php/poems/my-field-guide/,negative,-0.2113,0.1781,0.4514,0.1723,0.1587,0.5170,lakeside goldenrod; purple cluster; rhythmic knocking; all-classifying explanations; true names; evolution’s hunt; agitation; tamarack; throat; woodpecker; mouth; bee; bees; expertise; arms; flowers; matter; violet-prom-dress-circa-1960; words; guide; intimate—see; way; Biology; birds
On Being Fired Again,Erin Belieu,"Jan 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/on-being-fired-again/,negative,-0.3696,0.1865,0.4271,0.1023,0.0096,0.3696,contagious lack; salad bars; Poor attitude; obsessive love—; hard candy; little cards; team spirit; tulip tree; chain gang; register key; romance novels; post-rushhour street; neighborhood pool; rent check; snood; perversity; pleasures; apron; shame; heroines; throat; Larry; times—; cash; time; Jack; tardiness; door; covers; freedom; America; family
Monopoly,Kerry James Evans,"Jan 2, 2016",http://poetry.lib.uidaho.edu/index.php/poems/monopoly/,negative,-0.1679,0.3975,0.1459,0.1409,0.1822,0.5564,Free Parking; wheelbarrow—a piece; New York; worst smile; hotel shampoo; Boardwalk; Community Chest; mustached man; good cards; Railroads; property; grasp; monopolies; ghetto; shoulders; cannon; Deluxe; landlord; jail; earnings; supper; Baltic; percent; stack; dollars; Fed; Edition; pastels; roll; fight; rent; hat; Utilities; husband; barrel; suburbs; Chance; land; hotels; middle; game; Cook; edge; father
Packed in Ice,Kerry James Evans,"Feb 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/packed-in-ice/,negative,-0.5849,0.1104,0.0421,0.2605,0.3649,0.2937,nbsp; peach; freezer; wife; stares; knives; block.&nbsp; right; line; emotion; marriage; ice; ripe; artifact
Plundering,Kerry James Evans,"Apr 30, 2016",http://poetry.lib.uidaho.edu/index.php/poems/plundering/,negative,-0.1434,0.1281,0.5390,0.1672,0.2645,0.4726,Ole Maude; coffee shop; stove Grandmother; county dump; gravel roads; Swisher Sweets; iron bridge; Chevy Luv; leapt several times; snake-infested water; n’t drive; hangouts; stench; cooks; mints; Cecil; breathe; smell; caffeine; pickup; thing; hold; cream; mint; junk; eye; mouth; sugar; boy; cancer; feet
Volcano,Kerry James Evans,"Feb 18, 2016",http://poetry.lib.uidaho.edu/index.php/poems/volcano/,negative,-0.3447,0.1272,0.1931,0.4546,0.1124,0.4663,mines; antitank mines; Russian mines; French mines; precision-bombing air strike; legless soldier; brother’s leg; different phases; grocery store; safe zone; desert; soldiers; minefield; detonation; battalions; Mojave; kilometer; scatter; TOC; pension; jaw; Volcano; training; drill; failure; path; mouth; flags; cap; sand; training—crawl; town; bone; machine; land; television
Blue Ribbon Tomato Soup,Kerry James Evans,"Apr 11, 2016",http://poetry.lib.uidaho.edu/index.php/poems/blue-ribbon-tomato-soup/,positive,0.1197,0.1514,0.4564,0.1061,0.2702,0.5400,grilled cheese; stove eye—; garlic salt; black pepper; peanut shack; Cracker Barrel; milk jug; expiration date; coffee shop; meal; food stamps; county fair; Country Kitchen; Carbon Hill; sister; brother; buttered; skillet; plasticware; wink; parents; napkins; soup; neighbors; sides; dinner; chef; arm
What Makes the Green Grass Grow,Kerry James Evans,"Jan 12, 2016",http://poetry.lib.uidaho.edu/index.php/poems/what-makes-the-green-grass-grow/,negative,-0.1090,0.1476,0.6094,0.0222,0.0726,0.2367,plastic pop-up targets; fresh M16; sewer grate; fresh ideals; fresh hands; maggots chant; military man; natural order; green grass; wrinkle; camouflage; garrison; fury; bolt; afterlife; bullets; soldier; hit; brass; dirt
Death,Kwame Dawes,"Dec 31, 2015",http://poetry.lib.uidaho.edu/index.php/poems/death/,negative,-0.1783,0.0910,0.4900,0.5384,0.0952,0.5053,wide openmouthed laugh; dead cat; death; magic charm; Holy Spirit; silent. Death; broken neck; man; yellow scarf; fear death; white man; solid meal; cotton prices; early morning; open sky; dead dog; stench; face; power; lump; tangle; saucers; kerchief; sack; canker; sunsets; claws; spit; fingers; crows; weeds; flies; trousers; lip; faith; tail; Jesus; waits; way; cologne; hog; barn; eau; hides; dies.; skin; dawn; hand; life; eyes
Manna,Laura Kasischke,"Apr 3, 2016",http://poetry.lib.uidaho.edu/index.php/poems/manna/,negative,-0.1131,0.0724,0.4440,0.1215,0.5841,0.5421,earthly word; Permanent snow; powdered sugar; condensed foam; Solid fluff; spongy stones; old-fashioned candy; blood cells; lumps; hips; Weighted; grandmother; oxygen; flesh; bliss; shade; Pale; desire; soap; ghost; pocket; childhood; center; morsels; angel; lozenges; child
At the public pool,Laura Kasischke,"Dec 1, 2015",http://poetry.lib.uidaho.edu/index.php/poems/at-the-public-pool/,negative,-0.3550,0.0932,0.3976,0.1282,0.2574,0.5768,slowly rolling mirror; strange blue porcelain; terrible Euphrates; bearable memory; strong man; small child; blond curls; considerate expression; little shrub; public waters; naked lake; plugged-up fountain; little son; Political Art; beautiful belly; Radio Songs; public life; perfect head; arms; cries; Botticelli; tan; Crap; tail; Bought; drinks; transparent; father; lion; gun; hunter; tracks; edge; mother; Museum; need; sheet
Cigarettes,Laura Kasischke,"Mar 16, 2016",http://poetry.lib.uidaho.edu/index.php/poems/cigarettes/,negative,-0.0217,0.0613,0.5071,0.1206,0.3266,0.2570,moonless night; little glasses; family photo; open graves; mysterious child; laugh; extravagance; mantel; gymnasiums; sarcasm; birdbaths; mismanagement; glowing; ashes; lungs; Cigarette; orchestras; jar; ones; smoking; smoke; suffering; parking; eyes; snow; jokes; hand; sound; homeliness; lovemaking; room; road
Mushrooms,Laura Kasischke,"Apr 22, 2016",http://poetry.lib.uidaho.edu/index.php/laura-kasischke/mushrooms/,positive,0.0053,0.0894,0.3669,0.0732,0.1626,0.3579,silent naked monks; old tree stump; bare arms; hot tears; tongues; silence; teeth; thought; night; nothingness—; God
