title,author,poem,date,link,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness
Untitled 2,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em>
<p></p>
<p></p>
<p class=""line"">I cover my eyes with electrical wires, </p>
<p class=""line"">see yellow dawn eclipse Stop signs, </p>
<p class=""line em3"">turn green and screech into phosphorescence. </p>
<p></p>
<p class=""line"">Each flickering finger: </p>
<p class=""line"">a memory of a flashing yellow sign, </p>
<p class=""line"">blinks between charcoal sheets of monsoon rain </p>
<p class=""line"">then slices through the thawing of our hunger </p>
<p class=""line"">with the cracked eaves of a shattered house. </p>
<p></p>
<p></p>
<p class=""line"">Its autobiographical muscle — </p>
<p class=""line"">stringing trees into a forest, convulses, </p>
<p class=""line"">only to be flattened under its metallic leaves </p>
<p class=""line"">and sold as bricks for its basement of fire. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""http://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Dec 12, 2015",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-2-2/,-0.539352,0.080949,0.112677,0.281307,0.004485,0.634021
Untitled 3,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em></p>
<p></p>
<p class=""line"">An ax in his hand, </p>
<p class=""line"">he heard a crow digging wren eggs </p>
<p class=""line"">from beaks tied with eyelash hair </p>
<p class=""line"">and asked the summer, </p>
<p class=""line"">“What happened in the ellipses? </p>
<p class=""line"">What happened when gunfire blew into their speech </p>
<p class=""line"">and left one language hanging by a nail </p>
<p class=""line"">at the entrance of mouths </p>
<p class=""line"">flooded with such things as the down of drowned herons </p>
<p class=""line"">and the mud-covered hooves of drought </p>
<p class=""line"">kicking at the rain-stained earth </p>
<p class=""line"">devoured by minutes and seconds </p>
<p class=""line"">sticking to their shoes like sap, </p>
<p class=""line"">their onions peeled back, </p>
<p class=""line"">bees dangling like half moths out of their eyes?” </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""http://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Dec 10, 2015",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-3/,-0.245378,0.128114,0.634914,0.138454,0.00055,0.309254
Untitled 4,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em>
<p></p>
<p></p>
<p class=""line"">I carve this apple into a dove, </p>
<p class=""line"">wrap it in a nest of boiling water. </p>
<p></p>
<p class=""line"">I pinch your silences into soft whispers, </p>
<p class=""line"">pile them on your still chest— </p>
<p class=""line em3"">the marrows of turtles swirling counterclockwise inside them. </p>
<p></p>
<p class=""line"">I offer a dry stem, </p>
<p class=""line em3"">unfold this paper crane into a square cage. </p>
<p></p>
<p class=""line"">I keep the butcher’s thumbprints here. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Feb 21, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-4/,-0.209026,0.187675,0.515925,0.209468,0.04079,0.113677
Untitled 5,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em></p>
<p></p>
<p class=""line"">Those who congregated </p>
<p class=""line"">to heat the room </p>
<p class=""line"">swore to never do it &nbsp;&nbsp;again, </p>
<p class=""line em3"">never whip the mare, </p>
<p class=""line em3"">feed it bee stings, </p>
<p class=""line"">or dice fishing line and bait </p>
<p class=""line em3"">horizontally on the mattress </p>
<p class=""line em6"">to be mauled by wolves </p>
<p class=""line em6"">that leave paw prints over our tangled hair. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Mar 5, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-5/,-0.48188,0.350475,0.373175,0.384559,0.002422,0.058628
Untitled 6,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em></p>
<p></p>
<p class=""line"">Downwind from the body’s yellow teeth, </p>
<p class=""line"">children whisper <em>night</em>— </p>
<p class=""line em3"">amniotic clouds of car exhaust </p>
<p class=""line em6"">foaming to a lather above them. </p>
<p></p>
<p class=""line"">They are later found deboned— </p>
<p class=""line"">plucked from the narrowing fi eld— </p>
<p class=""line"">ears pulled back, </p>
<p class=""line em3"">a nation growling into them </p>
<p class=""line em3"">as they scrape double-plumed birdsongs </p>
<p class=""line em6"">from the beaks of drowned hummingbirds </p>
<p class=""line em3"">and smash them into eagle-bone whistles </p>
<p class=""line em6"">then ringlets of fire </p>
<p class=""line em9"">then the blood of orphaned lambs. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Mar 15, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-6/,-0.505378,0.166901,0.111924,0.328028,0.04936,0.430517
Untitled 7,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em></p>
<p></p>
<p class=""line"">I compare my hands to what I imagine thought might look like </p>
<p class=""line"">when suspended in fossilized amber, </p>
<p></p>
<p class=""line"">release the captured mosquito from my closed hands, </p>
<p class=""line"">string dimming gas lamps between rain and fall, </p>
<p></p>
<p class=""line"">and insert into the knife’s pale origin— </p>
<p class=""line em3"">a twig warming the clutching hand. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Feb 2, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-7/,-0.231409,0.299251,0.189958,0.170618,0.021488,0.434073
Untitled 8,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em></p>
<p></p>
<p class=""line"">Coyote howls canyons into windows painted on the floor with crushed turquoise; </p>
<p></p>
<p class=""line"">captured cranes secrete radon in the <em>epoxied</em> toolshed; </p>
<p></p>
<p class=""line"">leopard spots, ripe for drilling, ooze white gas when hung on a copper wire. </p>
<p></p>
<p class=""line"">I pull electricity from their softened bellies with loom yarn. </p>
<p></p>
<p class=""line"">I map a shrinking map. </p>
<p></p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Jan 21, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-8/,-0.558446,0.076359,0.266383,0.272214,0.029176,0.475782
Untitled 9,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em></p>
<p></p>
<p class=""line"">Gnawing coarse hair from </p>
<p class=""line em3"">the ink-splattered eaves of the darkened house </p>
<p class=""line em9"">they attempt to pull the survivor from its flood </p>
<p class=""line"">but stop to comment on how dark his skin is </p>
<p class=""line em3"">how wooden his face looks </p>
<p class=""line em9"">when photographed on a horse facing west; </p>
<p></p>
<p class=""line"">as if to name reeds piercing the horse’s neck: <em>whale bones wrapped in turtle hide,</em> </p>
<p></p>
<p class=""line"">as if to reach into the loom’s ribs and wring bear blood from handspun red wool. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Mar 25, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-9/,-0.565541,0.128242,0.393548,0.37716,0.002282,0.260275
Untitled 10,Sherwin Bitsui,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#bitsui"">Sherwin Bitsui</a></em></p>
<p></p>
<p class=""line"">In a cornfield at the bottom of a sandstone canyon, </p>
<p class=""line"">wearing the gloves of this song tightly over closed ears; </p>
<p class=""line"">the bursting sun presses licks of flame </p>
<p class=""line"">into our throats swelling with ghost dogs </p>
<p class=""line"">nibbling on hands that roped off our footprints </p>
<p class=""line"">keeping what is outside ours tucked </p>
<p class=""line"">beneath the warmth of their feet cooling to zero, </p>
<p class=""line"">as they swarm luminous landmines like gnats, </p>
<p class=""line"">as thunder shakes white sand from wet hair, </p>
<p class=""line"">as police sirens trickle from water jars onto squash blossoms, </p>
<p class=""line"">as starlight, opened inside a darkened room, </p>
<p class=""line"">begins to tell its story from end to beginning &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;again. </p>
<p></p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={6E12D2F9-B716-4F1E-94E9-88E37140404D}"">Flood Song</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71119912480001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2009 Sherwin Bitsui<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Feb 10, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-10/,-0.195391,0.009461,0.472553,0.503382,0.023634,0.090908
Beached,Sarah Lindsay,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#lindsay"">Sarah Lindsay</a></em></p>
<p></p>
<p class=""line"">Carrying the water I saved today </p>
<p class=""line"">in the leaky cup of my hands, </p>
<p class=""line"">I approach Earth, </p>
<p class=""line"">beached on her belly </p>
<p class=""line"">but stirring slightly </p>
<p class=""line"">in a miserable wind. </p>
<p class=""line"">As high on one side as I can reach </p>
<p class=""line"">I let my pittance spill </p>
<p class=""line"">down the cracked blue skin, </p>
<p class=""line"">careful of her blowhole, </p>
<p class=""line"">and I think her squint eye’s moon </p>
<p class=""line"">rolls to see more, </p>
<p class=""line"">but a hurricane clouds the pupil, </p>
<p class=""line"">ringed with smoke on fire. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={FC8D5D0A-ED8E-4694-9017-D64F188A07B8}"">Debt to the Bone-Eating Snotflower</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71194789170001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2013 Sarah Lindsay<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Dec 26, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/beached/,-0.0573285,0.059112,0.243453,0.238797,0.031314,0.51516
How I Was Born,Sarah Lindsay,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#lindsay"">Sarah Lindsay</a></em></p>
<p></p>
<p class=""line"">I think I began like the pig’s heart </p>
<p class=""line"">beating in its tray, or the anemic rats. </p>
<p class=""line"">A protein mesh was my mother, </p>
<p class=""line"">and the zipper teeth of my DNA </p>
<p class=""line"">came from powdered sugarcane. </p>
<p></p>
<p></p>
<p class=""line"">When I was just one hundred fifty cells, </p>
<p class=""line"">they plucked one out and carried it off </p>
<p class=""line"">for a stranger with defective marrow. </p>
<p class=""line"">“This won’t hurt,” they said. </p>
<p></p>
<p></p>
<p class=""line"">I filled the space in anyhow. </p>
<p class=""line"">I grew, I got the trick of breathing, </p>
<p class=""line"">fed from an IV. </p>
<p class=""line"">Learned to drink from a bottle. </p>
<p class=""line"">Who knows if my origins explain </p>
<p></p>
<p></p>
<p class=""line"">my fear of needles, my cravings for salty food, </p>
<p class=""line"">enclosed warm spaces, pale young men with leukemia. </p>
<p class=""line"">Full grown, I often suck my thumb. </p>
<p class=""line"">That way I know it’s mine. </p>
<p></p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={FC8D5D0A-ED8E-4694-9017-D64F188A07B8}"">Debt to the Bone-Eating Snotflower</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71194789170001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2013 Sarah Lindsay<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Jan 1, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/how-i-was-born/,-0.456298,0.241797,0.173377,0.42427,0.18192,0.472902
If God Made Jam,Sarah Lindsay,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#lindsay"">Sarah Lindsay</a></em></p>
<p></p>
<p class=""line"">If God made jam the jars wouldn’t necessarily glow </p>
<p class=""line"">like Christmas lights or the new home of seventy fireflies, </p>
<p class=""line"">the berries wouldn’t have to be so divine </p>
<p class=""line"">they dribbled rainbows and healed the sick, </p>
<p class=""line"">each pip released a <em>Gloria</em> when it </p>
<p class=""line"">cracked between your teeth, </p>
<p class=""line"">and God’s jam would never refuse to touch earthly bread— </p>
<p></p>
<p></p>
<p class=""line"">Aunt Lydia has worked out this much </p>
<p class=""line"">since Cousin Bobby told her about a comma </p>
<p class=""line"">he skipped long ago while learning his catechism. </p>
<p class=""line"">Now, on a rainy morning, spared the news </p>
<p class=""line"">that lay in her grass and is too wet to read, </p>
<p class=""line"">she’s flexed her stiff hands and found them able </p>
<p class=""line"">to slice the bread baked by a friend </p>
<p class=""line"">and twist the lid from a royal-red jar, </p>
<p class=""line"">and with the first crusty, raspberry bite </p>
<p class=""line"">she’s ready to affirm God does make jam. </p>
<p class=""line"">It still counts if people figure among </p>
<p class=""line"">the instruments that have been put to use, </p>
<p class=""line"">and Bobby catechized wasn’t wrong </p>
<p class=""line"">when he pictured a deity, willing to work in the kitchen, </p>
<p class=""line italic"">who made preserves and redeemed us. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={FC8D5D0A-ED8E-4694-9017-D64F188A07B8}"">Debt to the Bone-Eating Snotflower</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71194789170001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2013 Sarah Lindsay<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Mar 21, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/if-god-made-jam/,-0.103431,0.195565,0.740802,0.013194,0.071615,0.030092
Magnitude Aunt Lydia Does Stretching Exercises,Sarah Lindsay,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#lindsay"">Sarah Lindsay</a></em></p>
<p></p>
<p class=""line"">A soft sweet cheese they make for daily bread, </p>
<p class=""line"">and in the vat of milk and rennet set an egg, </p>
<p class=""line"">to tell them when it’s done. While they’re </p>
<p class=""line"">feeding the chickens or sowing corn, the whey </p>
<p class=""line"">congeals in streaks and superstring curls. </p>
<p class=""line"">Rifts develop, curdy lumps, </p>
<p class=""line"">and gases congregate in spirals; </p>
<p class=""line"">the smell grows desirably rank as elements </p>
<p class=""line"">thicken into earths and metals, </p>
<p class=""line"">and when our unhatched robin-blue planet </p>
<p class=""line"">sinks, this batch will be ready. </p>
<p></p>
<p></p>
<p class=""line"">Or maybe enough dark matter exists </p>
<p class=""line"">for turning out firmer cheese, </p>
<p class=""line"">a dark dark marbled Swiss with black holes </p>
<p class=""line"">and delicious veins of stardust forming </p>
<p class=""line"">from windborne impurities, along one of which </p>
<p class=""line"">our Earth is a fleck of blue mold. </p>
<p class=""line"">Maybe they wrap it in burlap, so </p>
<p class=""line"">the rim of this universe bluntly prints </p>
<p class=""line"">a coarse fabric weave on the next one. </p>
<p></p>
<p></p>
<p class=""line"">Think of the milch cow they keep, its size, </p>
<p class=""line"">the heat of its flanks, the weight of its hooves, </p>
<p class=""line"">think of the one who comes to milk her, </p>
<p class=""line"">whistling square roots, perhaps, or wave functions, </p>
<p class=""line"">think of the breadth of space in the swinging pail. </p>
<p class=""line"">And think how you’ve nonetheless fit the whole barn, </p>
<p class=""line"">for a minute at least, in your head. </p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={FC8D5D0A-ED8E-4694-9017-D64F188A07B8}"">Debt to the Bone-Eating Snotflower</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71194789170001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2013 Sarah Lindsay<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Jan 25, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/magnitude-aunt-lydia-does-stretching-exercises/,-0.135607,0.097219,0.463478,0.169332,0.2114,0.574072
Origin,Sarah Lindsay,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#lindsay"">Sarah Lindsay</a></em></p>
<p></p>
<p class=""line"">The first cell felt no call to divide. </p>
<p class=""line"">Fed on abundant salts and sun, </p>
<p class=""line"">still thin, it simply spread, </p>
<p class=""line"">rocking on water, clinging to stone, </p>
<p class=""line"">a film of obliging strength. </p>
<p class=""line"">Its endoplasmic reticulum </p>
<p class=""line"">was a thing of incomparable curvaceous length; </p>
<p class=""line"">its nucleus, Golgi apparatus, RNA </p>
<p class=""line"">magnificent. With no incidence </p>
<p class=""line"">of loneliness, inner conflict, or deceit, </p>
<p class=""line"">no predator or prey, </p>
<p class=""line"">it had little to do but thrive, </p>
<p class=""line"">draw back from any sharp heat </p>
<p class=""line"">or bitterness, and change its pastel </p>
<p class=""line"">colors in a kind of song. </p>
<p class=""line"">We are descendants of the second cell. </p>
<p></p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={FC8D5D0A-ED8E-4694-9017-D64F188A07B8}"">Debt to the Bone-Eating Snotflower</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71194789170001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2013 Sarah Lindsay<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Feb 28, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/origin/,0.0815063,0.097747,0.04197,0.146715,0.057374,0.697537
Radium,Sarah Lindsay,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#lindsay"">Sarah Lindsay</a></em></p>
<p></p>
<p class=""line"">His gifts to her were theory, patience, </p>
<p class=""line"">equilibrium, and a pile of dirt— </p>
<p class=""line"">industrial waste. He loved to watch his wife </p>
<p class=""line"">aglow with determination, pursuing </p>
<p class=""line"">discovery of a hidden element, past uranium, </p>
<p class=""line"">by the light of her hunger. “I should </p>
<p class=""line"">like it to have a beautiful color,” he said. </p>
<p class=""line"">He would buy her boots to wipe at the Sorbonne. </p>
<p></p>
<p></p>
<p class=""line"">Heated, she leaned over a boiling vat, </p>
<p class=""line"">stirring her dirt reduction, hour on hour. </p>
<p class=""line"">She looked like any skinny hausfrau </p>
<p class=""line"">bent to her bubbling sauerkraut. </p>
<p class=""line"">She looked like the first woman who would be </p>
<p class=""line"">awarded a Nobel Prize, as well as </p>
<p class=""line"">the first to fall to her knees before </p>
<p class=""line"">a hill of brown dust shot through with pine needles </p>
<p class=""line"">and press her filled hands to her face. </p>
<p></p>
<p></p>
<p class=""line"">She boiled her tons of pitchblende down </p>
<p class=""line"">to a scraping of radium nearly the size </p>
<p class=""line"">of their baby’s smallest fingernail—just the white. </p>
<p class=""line"">Proof of its existence, and hers. </p>
<p class=""line"">It permeated their clothes, their papers, </p>
<p class=""line"">peeled their fingers, </p>
<p class=""line"">entered their marrow and slowly burned. </p>
<p class=""line"">He mildly alluded to rheumatism. </p>
<p class=""line"">He stroked her radioactive hair </p>
<p class=""line"">with a radioactive hand. </p>
<p></p>
<p class=""line"">Colorless, shining radium darkened </p>
<p class=""line"">in contact with air. Chemically </p>
<p class=""line"">much like calcium, it could stream </p>
<p class=""line"">like calcium through her brain cells </p>
<p class=""line"">in her later years alone </p>
<p class=""line"">and make memories glow in the dark: </p>
<p class=""line"">illegal schooling, unheated rooms, </p>
<p class=""line"">subsistence on tea and chocolate. Lying </p>
<p class=""line"">with her husband for a few hours’ sleep, </p>
<p class=""line"">cracked hands and weakened legs entwined, </p>
<p class=""line"">united gaze resting on the vial </p>
<p class=""line"">of radium salts they kept beside them every night </p>
<p class=""line"">for the lovely light it shed. </p>
<p></p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={FC8D5D0A-ED8E-4694-9017-D64F188A07B8}"">Debt to the Bone-Eating Snotflower</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71194789170001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2013 Sarah Lindsay<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""http://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","Dec 19, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/radium/,-0.101528,0.138659,0.470766,0.118604,0.254111,0.272243
The Common Octopus,Sarah Lindsay,"<p class=""line byline""><em>by <a href=""http://poetry.lib.uidaho.edu/index.php/past-poets/#lindsay"">Sarah Lindsay</a></em></p>
<p></p>
<p class=""line"">The octopus has no bones, </p>
<p class=""line"">the octopus has no voice. </p>
<p class=""line"">Her mouth is in her armpit, </p>
<p class=""line"">her body in her head. </p>
<p class=""line"">She scarcely has a face. </p>
<p class=""line"">Her eyes are purple squares </p>
<p class=""line"">in domes with fleshy lids. </p>
<p class=""line"">She spurts a purple cloud </p>
<p class=""line"">and safe behind it flies. </p>
<p></p>
<p></p>
<p class=""line"">She can be a tassel, </p>
<p class=""line"">she can be a web. </p>
<p class=""line"">Her hide is wondrous thin, </p>
<p class=""line"">transparent at the tips. </p>
<p class=""line"">Her arms are many many, </p>
<p class=""line"">more fluid than a flame </p>
<p class=""line"">and lined with sucking cups. </p>
<p class=""line"">Wet she crawls through fire </p>
<p class=""line"">or holes as small as dimes. </p>
<p></p>
<p></p>
<p class=""line"">Color of the ocean floor, </p>
<p class=""line"">color of the beach </p>
<p class=""line"">or wherever else she lies. </p>
<p class=""line"">What I cannot breathe she breathes, </p>
<p class=""line"">where I cannot go she goes. </p>
<p class=""line"">Her curling makes me shiver </p>
<p class=""line"">when I should be moved to praise. </p>
<p class=""line"">The octopus has no bones, </p>
<p class=""line"">the octopus has no voice. </p>
<p></p>
<p class=""line bookinfo"">from <em><a target=""_blank"" href=""https://www.coppercanyonpress.org/pages/browse/book.asp?bg={FC8D5D0A-ED8E-4694-9017-D64F188A07B8}"">Debt to the Bone-Eating Snotflower</a></em><a class=""librarylink"" href=""http://search.lib.uidaho.edu/UID:ui_alma_summit:CP71194789170001451"">Find it in the library</a></p><p class=""citation"">Copyright © 2013 Sarah Lindsay<br/>Used with the permission of The Permissions Company, Inc.<br/>on behalf of <a href=""https://www.coppercanyonpress.org"">Copper Canyon Press</a>.</p>","May 2, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/the-common-octopus/,-0.271093,0.110301,0.457886,0.178206,0.161403,0.521316
